STATISTIC Label,Month,Selected Base Reference Period,UNIT,VALUE
Consumer Price Index,1931 April,Base August 1947=100,Base = 100,
Consumer Price Index,1931 April,Base August 1953=100,Base = 100,
Consumer Price Index,1931 April,Base November 1968=100,Base = 100,
Consumer Price Index,1931 April,Base November 1975=100,Base = 100,
Consumer Price Index,1931 April,Base November 1982=100,Base = 100,
Consumer Price Index,1931 April,Base November 1989=100,Base = 100,
Consumer Price Index,1931 April,Base November 1996=100,Base = 100,
Consumer Price Index,1931 April,Base December 2001=100,Base = 100,
Consumer Price Index,1931 April,Base December 2006=100,Base = 100,
Consumer Price Index,1931 April,Base December 2011=100,Base = 100,
Consumer Price Index,1931 April,Base December 2016=100,Base = 100,
Consumer Price Index,1931 April,Base December 2023=100,Base = 100,
Consumer Price Index,1931 May,Base July 1914=100,Base = 100,156
Consumer Price Index,1931 May,Base August 1947=100,Base = 100,
Consumer Price Index,1931 May,Base August 1953=100,Base = 100,
Consumer Price Index,1931 May,Base November 1968=100,Base = 100,
Consumer Price Index,1931 May,Base November 1975=100,Base = 100,
Consumer Price Index,1931 May,Base November 1982=100,Base = 100,
Consumer Price Index,1931 May,Base November 1989=100,Base = 100,
Consumer Price Index,1931 May,Base November 1996=100,Base = 100,
Consumer Price Index,1931 May,Base December 2001=100,Base = 100,
Consumer Price Index,1931 May,Base December 2006=100,Base = 100,
Consumer Price Index,1931 May,Base December 2011=100,Base = 100,
Consumer Price Index,1931 May,Base December 2016=100,Base = 100,
Consumer Price Index,1931 May,Base December 2023=100,Base = 100,
Consumer Price Index,1931 June,Base July 1914=100,Base = 100,156
Consumer Price Index,1931 June,Base August 1947=100,Base = 100,
Consumer Price Index,1931 June,Base August 1953=100,Base = 100,
Consumer Price Index,1931 June,Base November 1968=100,Base = 100,
Consumer Price Index,1931 June,Base November 1975=100,Base = 100,
Consumer Price Index,1931 June,Base November 1982=100,Base = 100,
Consumer Price Index,1931 June,Base November 1989=100,Base = 100,
Consumer Price Index,1931 June,Base November 1996=100,Base = 100,
Consumer Price Index,1931 June,Base December 2001=100,Base = 100,
Consumer Price Index,1931 June,Base December 2006=100,Base = 100,
Consumer Price Index,1931 June,Base December 2011=100,Base = 100,
Consumer Price Index,1931 June,Base December 2016=100,Base = 100,
Consumer Price Index,1931 June,Base December 2023=100,Base = 100,
Consumer Price Index,1931 July,Base July 1914=100,Base = 100,157
Consumer Price Index,1931 July,Base August 1947=100,Base = 100,
Consumer Price Index,1931 July,Base August 1953=100,Base = 100,
Consumer Price Index,1931 July,Base November 1968=100,Base = 100,
Consumer Price Index,1931 July,Base November 1975=100,Base = 100,
Consumer Price Index,1931 July,Base November 1982=100,Base = 100,
Consumer Price Index,1931 July,Base November 1989=100,Base = 100,
Consumer Price Index,1931 July,Base November 1996=100,Base = 100,
Consumer Price Index,1931 July,Base December 2001=100,Base = 100,
Consumer Price Index,1931 July,Base December 2006=100,Base = 100,
Consumer Price Index,1931 July,Base December 2011=100,Base = 100,
Consumer Price Index,1931 July,Base December 2016=100,Base = 100,
Consumer Price Index,1931 July,Base December 2023=100,Base = 100,
Consumer Price Index,1931 August,Base July 1914=100,Base = 100,157
Consumer Price Index,1931 August,Base August 1947=100,Base = 100,
Consumer Price Index,1931 August,Base August 1953=100,Base = 100,
Consumer Price Index,1931 August,Base November 1968=100,Base = 100,
Consumer Price Index,1931 August,Base November 1975=100,Base = 100,
Consumer Price Index,1931 August,Base November 1982=100,Base = 100,
Consumer Price Index,1931 August,Base November 1989=100,Base = 100,
Consumer Price Index,1931 August,Base November 1996=100,Base = 100,
Consumer Price Index,1931 August,Base December 2001=100,Base = 100,
Consumer Price Index,1931 August,Base December 2006=100,Base = 100,
Consumer Price Index,1931 August,Base December 2011=100,Base = 100,
Consumer Price Index,1931 August,Base December 2016=100,Base = 100,
Consumer Price Index,1931 August,Base December 2023=100,Base = 100,
Consumer Price Index,1931 September,Base July 1914=100,Base = 100,157
Consumer Price Index,1931 September,Base August 1947=100,Base = 100,
Consumer Price Index,1931 September,Base August 1953=100,Base = 100,
Consumer Price Index,1931 September,Base November 1968=100,Base = 100,
Consumer Price Index,1931 September,Base November 1975=100,Base = 100,
Consumer Price Index,1931 September,Base November 1982=100,Base = 100,
Consumer Price Index,1931 September,Base November 1989=100,Base = 100,
Consumer Price Index,1931 September,Base November 1996=100,Base = 100,
Consumer Price Index,1931 September,Base December 2001=100,Base = 100,
Consumer Price Index,1931 September,Base December 2006=100,Base = 100,
Consumer Price Index,1931 September,Base December 2011=100,Base = 100,
Consumer Price Index,1931 September,Base December 2016=100,Base = 100,
Consumer Price Index,1931 September,Base December 2023=100,Base = 100,
Consumer Price Index,1931 October,Base July 1914=100,Base = 100,165
Consumer Price Index,1931 October,Base August 1947=100,Base = 100,
Consumer Price Index,1931 October,Base August 1953=100,Base = 100,
Consumer Price Index,1931 October,Base November 1968=100,Base = 100,
Consumer Price Index,1931 October,Base November 1975=100,Base = 100,
Consumer Price Index,1931 October,Base November 1982=100,Base = 100,
Consumer Price Index,1931 October,Base November 1989=100,Base = 100,
Consumer Price Index,1931 October,Base November 1996=100,Base = 100,
Consumer Price Index,1931 October,Base December 2001=100,Base = 100,
Consumer Price Index,1931 October,Base December 2006=100,Base = 100,
Consumer Price Index,1931 October,Base December 2011=100,Base = 100,
Consumer Price Index,1931 October,Base December 2016=100,Base = 100,
Consumer Price Index,1931 October,Base December 2023=100,Base = 100,
Consumer Price Index,1931 November,Base July 1914=100,Base = 100,165
Consumer Price Index,1931 November,Base August 1947=100,Base = 100,
Consumer Price Index,1931 November,Base August 1953=100,Base = 100,
Consumer Price Index,1931 November,Base November 1968=100,Base = 100,
Consumer Price Index,1931 November,Base November 1975=100,Base = 100,
Consumer Price Index,1931 November,Base November 1982=100,Base = 100,
Consumer Price Index,1931 November,Base November 1989=100,Base = 100,
Consumer Price Index,1931 November,Base November 1996=100,Base = 100,
Consumer Price Index,1931 November,Base December 2001=100,Base = 100,
Consumer Price Index,1931 November,Base December 2006=100,Base = 100,
Consumer Price Index,1931 November,Base December 2011=100,Base = 100,
Consumer Price Index,1931 November,Base December 2016=100,Base = 100,
Consumer Price Index,1931 November,Base December 2023=100,Base = 100,
Consumer Price Index,1931 December,Base July 1914=100,Base = 100,165
Consumer Price Index,1931 December,Base August 1947=100,Base = 100,
Consumer Price Index,1931 December,Base August 1953=100,Base = 100,
Consumer Price Index,1931 December,Base November 1968=100,Base = 100,
Consumer Price Index,1931 December,Base November 1975=100,Base = 100,
Consumer Price Index,1931 December,Base November 1982=100,Base = 100,
Consumer Price Index,1931 December,Base November 1989=100,Base = 100,
Consumer Price Index,1931 December,Base November 1996=100,Base = 100,
Consumer Price Index,1931 December,Base December 2001=100,Base = 100,
Consumer Price Index,1931 December,Base December 2006=100,Base = 100,
Consumer Price Index,1931 December,Base December 2011=100,Base = 100,
Consumer Price Index,1931 December,Base December 2016=100,Base = 100,
Consumer Price Index,1931 December,Base December 2023=100,Base = 100,
Consumer Price Index,1932 January,Base July 1914=100,Base = 100,162
Consumer Price Index,1932 January,Base August 1947=100,Base = 100,
Consumer Price Index,1932 January,Base August 1953=100,Base = 100,
Consumer Price Index,1932 January,Base November 1968=100,Base = 100,
Consumer Price Index,1932 January,Base November 1975=100,Base = 100,
Consumer Price Index,1932 January,Base November 1982=100,Base = 100,
Consumer Price Index,1932 January,Base November 1989=100,Base = 100,
Consumer Price Index,1932 January,Base November 1996=100,Base = 100,
Consumer Price Index,1932 January,Base December 2001=100,Base = 100,
Consumer Price Index,1932 January,Base December 2006=100,Base = 100,
Consumer Price Index,1932 January,Base December 2011=100,Base = 100,
Consumer Price Index,1932 January,Base December 2016=100,Base = 100,
Consumer Price Index,1932 January,Base December 2023=100,Base = 100,
Consumer Price Index,1932 February,Base July 1914=100,Base = 100,162
Consumer Price Index,1932 February,Base August 1947=100,Base = 100,
Consumer Price Index,1932 February,Base August 1953=100,Base = 100,
Consumer Price Index,1932 February,Base November 1968=100,Base = 100,
Consumer Price Index,1932 February,Base November 1975=100,Base = 100,
Consumer Price Index,1932 February,Base November 1982=100,Base = 100,
Consumer Price Index,1932 February,Base November 1989=100,Base = 100,
Consumer Price Index,1932 February,Base November 1996=100,Base = 100,
Consumer Price Index,1932 February,Base December 2001=100,Base = 100,
Consumer Price Index,1932 February,Base December 2006=100,Base = 100,
Consumer Price Index,1932 February,Base December 2011=100,Base = 100,
Consumer Price Index,1932 February,Base December 2016=100,Base = 100,
Consumer Price Index,1932 February,Base December 2023=100,Base = 100,
Consumer Price Index,1932 March,Base July 1914=100,Base = 100,162
Consumer Price Index,1932 March,Base August 1947=100,Base = 100,
Consumer Price Index,1932 March,Base August 1953=100,Base = 100,
Consumer Price Index,1932 March,Base November 1968=100,Base = 100,
Consumer Price Index,1932 March,Base November 1975=100,Base = 100,
Consumer Price Index,1932 March,Base November 1982=100,Base = 100,
Consumer Price Index,1932 March,Base November 1989=100,Base = 100,
Consumer Price Index,1932 March,Base November 1996=100,Base = 100,
Consumer Price Index,1932 March,Base December 2001=100,Base = 100,
Consumer Price Index,1932 March,Base December 2006=100,Base = 100,
Consumer Price Index,1932 March,Base December 2011=100,Base = 100,
Consumer Price Index,1932 March,Base December 2016=100,Base = 100,
Consumer Price Index,1932 March,Base December 2023=100,Base = 100,
Consumer Price Index,1932 April,Base July 1914=100,Base = 100,159
Consumer Price Index,1932 April,Base August 1947=100,Base = 100,
Consumer Price Index,1932 April,Base August 1953=100,Base = 100,
Consumer Price Index,1932 April,Base November 1968=100,Base = 100,
Consumer Price Index,1932 April,Base November 1975=100,Base = 100,
Consumer Price Index,1932 April,Base November 1982=100,Base = 100,
Consumer Price Index,1932 April,Base November 1989=100,Base = 100,
Consumer Price Index,1932 April,Base November 1996=100,Base = 100,
Consumer Price Index,1932 April,Base December 2001=100,Base = 100,
Consumer Price Index,1932 April,Base December 2006=100,Base = 100,
Consumer Price Index,1932 April,Base December 2011=100,Base = 100,
Consumer Price Index,1932 April,Base December 2016=100,Base = 100,
Consumer Price Index,1932 April,Base December 2023=100,Base = 100,
Consumer Price Index,1932 May,Base July 1914=100,Base = 100,159
Consumer Price Index,1932 May,Base August 1947=100,Base = 100,
Consumer Price Index,1932 May,Base August 1953=100,Base = 100,
Consumer Price Index,1932 May,Base November 1968=100,Base = 100,
Consumer Price Index,1932 May,Base November 1975=100,Base = 100,
Consumer Price Index,1932 May,Base November 1982=100,Base = 100,
Consumer Price Index,1932 May,Base November 1989=100,Base = 100,
Consumer Price Index,1932 May,Base November 1996=100,Base = 100,
Consumer Price Index,1932 May,Base December 2001=100,Base = 100,
Consumer Price Index,1932 May,Base December 2006=100,Base = 100,
Consumer Price Index,1932 May,Base December 2011=100,Base = 100,
Consumer Price Index,1932 May,Base December 2016=100,Base = 100,
Consumer Price Index,1932 May,Base December 2023=100,Base = 100,
Consumer Price Index,1932 June,Base July 1914=100,Base = 100,159
Consumer Price Index,1932 June,Base August 1947=100,Base = 100,
Consumer Price Index,1932 June,Base August 1953=100,Base = 100,
Consumer Price Index,1932 June,Base November 1968=100,Base = 100,
Consumer Price Index,1932 June,Base November 1975=100,Base = 100,
Consumer Price Index,1932 June,Base November 1982=100,Base = 100,
Consumer Price Index,1932 June,Base November 1989=100,Base = 100,
Consumer Price Index,1932 June,Base November 1996=100,Base = 100,
Consumer Price Index,1932 June,Base December 2001=100,Base = 100,
Consumer Price Index,1932 June,Base December 2006=100,Base = 100,
Consumer Price Index,1932 June,Base December 2011=100,Base = 100,
